id,tk,co,insider,rel,fd,td,acc,icik,insider_px,insider_sh,insider_val,entry_d,entry_px,shares,gap,exit_d,exit_px,exit_status,exit_sessions,exit_roi,exit_pnl,last_d,last_px,roi_open,status,entry_rule_status,price_src,edgar_url,yahoo_history_url,review_note
0001225208-26-003385:ICFI,ICFI,"ICF International, Inc.",Mehl Randall,Director,2026-03-06,2026-03-06,0001225208-26-003385,1362004,74.3,1100.0,81730.0,,,,,,,,,,,,,,no_price,no_price,,https://www.sec.gov/Archives/edgar/data/1362004/000122520826003385/0001225208-26-003385-index.htm,https://finance.yahoo.com/quote/ICFI/history,no market bars retrieved for this ticker (delisted/uncovered) — no entry inferred
0001140361-26-008363:ADMA,ADMA,"ADMA BIOLOGICS, INC.",ELMS STEVE,Director,2026-03-09,2026-03-05,0001140361-26-008363,1368514,15.53,14000.0,217420.0,2026-03-10,15.69,637.3486,0.0103,,,open,119,,,2026-08-28,9.34,-0.4047,open,verified,,https://www.sec.gov/Archives/edgar/data/1368514/000114036126008363/0001140361-26-008363-index.htm,https://finance.yahoo.com/quote/ADMA/history,119 sessions since entry (<252); one-year exit not yet observable; price history from a partial/offline cache — re-fetch on a connected run
0001731122-26-000395:VEEE,VEEE,"Twin Vee PowerCats, Co.",SWETS LARRY G JR,Director,2026-03-13,2026-03-13,0001731122-26-000395,1855509,0.42,50000.0,21000.0,,,,,,,,,,,,,,no_price,no_price,,https://www.sec.gov/Archives/edgar/data/1855509/000173112226000395/0001731122-26-000395-index.htm,https://finance.yahoo.com/quote/VEEE/history,no market bars retrieved for this ticker (delisted/uncovered) — no entry inferred
0001672688-26-000049:ABSI,ABSI,Absci Corp,Busch Andreas,Officer,2026-03-16,2026-03-12,0001672688-26-000049,1672688,2.29,100000.0,229000.0,2026-03-17,2.61,3831.4176,0.1397,,,open,114,,,2026-08-28,8.71,2.3372,open,verified,,https://www.sec.gov/Archives/edgar/data/1672688/000167268826000049/0001672688-26-000049-index.htm,https://finance.yahoo.com/quote/ABSI/history,114 sessions since entry (<252); one-year exit not yet observable; price history from a partial/offline cache — re-fetch on a connected run
0001193125-26-111290:MYO,MYO,"MYOMO, INC.",Getz Heather C,Director,2026-03-17,2026-03-16,0001193125-26-111290,1369290,0.6986,20000.0,13972.0,,,,,,,,,,,,,,no_price,no_price,,https://www.sec.gov/Archives/edgar/data/1369290/000119312526111290/0001193125-26-111290-index.htm,https://finance.yahoo.com/quote/MYO/history,no market bars retrieved for this ticker (delisted/uncovered) — no entry inferred
0001731122-26-000462:VEEE,VEEE,"Twin Vee PowerCats, Co.",Schuyler Kevin,Director,2026-03-19,2026-03-19,0001731122-26-000462,1855509,0.4066,25000.0,10165.0,,,,,,,,,,,,,,no_price,no_price,,https://www.sec.gov/Archives/edgar/data/1855509/000173112226000462/0001731122-26-000462-index.htm,https://finance.yahoo.com/quote/VEEE/history,no market bars retrieved for this ticker (delisted/uncovered) — no entry inferred
0001493152-26-023155:AGIG,AGIG,"ABUNDIA GLOBAL IMPACT GROUP, INC.",Gillespie Edward Oliver,Director/Officer,2026-05-14,2026-05-12,0001493152-26-023155,1156041,1.1846,31220.0,36981.7,2026-05-15,1.2,8333.3333,0.013,,,open,72,,,2026-08-28,1.01,-0.1583,open,verified,,https://www.sec.gov/Archives/edgar/data/1156041/000149315226023155/0001493152-26-023155-index.htm,https://finance.yahoo.com/quote/AGIG/history,72 sessions since entry (<252); one-year exit not yet observable; price history from a partial/offline cache — re-fetch on a connected run
0000950142-26-001403:ALKT,ALKT,"ALKAMI TECHNOLOGY, INC.","GENERAL ATLANTIC, L.P. (+9 joint)",Director/10% Owner,2026-05-14,2026-05-12,0000950142-26-001403,1529274,16.6733,1975000.0,32929750.0,2026-05-15,16.9,591.716,0.0136,,,open,72,,,2026-08-28,20.22,0.1964,open,verified,,https://www.sec.gov/Archives/edgar/data/1529274/000095014226001403/0000950142-26-001403-index.htm,https://finance.yahoo.com/quote/ALKT/history,72 sessions since entry (<252); one-year exit not yet observable; price history from a partial/offline cache — re-fetch on a connected run
0001493152-26-023264:AGIG,AGIG,"ABUNDIA GLOBAL IMPACT GROUP, INC.",Bailey Robert J.,Director,2026-05-15,2026-05-12,0001493152-26-023264,1156041,1.1994,10000.0,11993.86,2026-05-18,1.12,8928.5714,-0.0662,,,open,71,,,2026-08-28,1.01,-0.0982,open,verified,,https://www.sec.gov/Archives/edgar/data/1156041/000149315226023264/0001493152-26-023264-index.htm,https://finance.yahoo.com/quote/AGIG/history,71 sessions since entry (<252); one-year exit not yet observable; price history from a partial/offline cache — re-fetch on a connected run
0001062993-26-002799:ACCS,ACCS,ACCESS Newswire Inc.,Rein Graeme P.,Director,2026-05-19,2026-05-15,0001062993-26-002799,843006,6.8036,14833.0,100917.75,2026-05-20,6.26,1597.4441,-0.0799,,,open,69,,,2026-08-28,5.71,-0.0879,open,verified,,https://www.sec.gov/Archives/edgar/data/843006/000106299326002799/0001062993-26-002799-index.htm,https://finance.yahoo.com/quote/ACCS/history,69 sessions since entry (<252); one-year exit not yet observable; price history from a partial/offline cache — re-fetch on a connected run
