id,status,entry_rule_status,fd,td,entry_d,tk,co,insider,rel,title,sec,lots,insider_sh,insider_px,insider_val,entry_px,gap,shares,stake,last_d,last_px,mtm,pnl,roi,r1,r5,r21,r63,r252,delay_td_fd,delay_fd_entry,hold,price_src,entry_check,edgar_url,yahoo_history_url,stooq_url,acc,form,amend,icik,pcik
0001672688-26-000124:ABSI,no_price,no_price,2026-07-06,2026-06-30,,ABSI,Absci Corp,Szela Mary T,Director,,Common Stock,1,12900.0,11.54,148866.0,,,,10000.0,,,,,,,,,,,6,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1672688/000167268826000124/0001672688-26-000124-index.htm,https://finance.yahoo.com/quote/ABSI/history,https://stooq.com/q/d/?s=absi.us,0001672688-26-000124,4,0,1672688,1410289
0001493152-26-028685:AGIG,no_price,no_price,2026-06-15,2026-06-12,,AGIG,"ABUNDIA GLOBAL IMPACT GROUP, INC.",Gillespie Edward Oliver,Director/Officer,Chief Executive Officer,Common Stock,1,11000.0,1.18,12980.0,,,,10000.0,,,,,,,,,,,3,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1156041/000149315226028685/0001493152-26-028685-index.htm,https://finance.yahoo.com/quote/AGIG/history,https://stooq.com/q/d/?s=agig.us,0001493152-26-028685,4,0,1156041,2076180
0001104659-26-074164:CTSO,no_price,no_price,2026-06-15,2026-06-12,,CTSO,Cytosorbents Corp,Chan Phillip P.,Director/Officer,Chief Executive Officer,Common Stock,2,261469.0,0.4012,104897.59,,,,10000.0,,,,,,,,,,,3,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1175151/000110465926074164/0001104659-26-074164-index.htm,https://finance.yahoo.com/quote/CTSO/history,https://stooq.com/q/d/?s=ctso.us,0001104659-26-074164,4,0,1175151,1442786
0001493152-26-027810:DBGI,no_price,no_price,2026-06-09,2026-06-02,,DBGI,"Digital Brands Group, Inc.",DAVIS JOHN HILBURN IV,Director/Officer,CEO,Common Stock,1,70127.0287,0.7001,49095.93,,,,10000.0,,,,,,,,,,,7,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1668010/000149315226027810/0001493152-26-027810-index.htm,https://finance.yahoo.com/quote/DBGI/history,https://stooq.com/q/d/?s=dbgi.us,0001493152-26-027810,4,0,1668010,1860737
0001493152-26-024597:AGIG,no_price,no_price,2026-05-20,2026-05-18,,AGIG,"ABUNDIA GLOBAL IMPACT GROUP, INC.",Gillespie Edward Oliver,Director/Officer,Chief Executive Officer,Common Stock,1,14990.0,1.15,17238.5,,,,10000.0,,,,,,,,,,,2,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1156041/000149315226024597/0001493152-26-024597-index.htm,https://finance.yahoo.com/quote/AGIG/history,https://stooq.com/q/d/?s=agig.us,0001493152-26-024597,4,0,1156041,2076180
0001062993-26-002799:ACCS,no_price,no_price,2026-05-19,2026-05-15,,ACCS,ACCESS Newswire Inc.,Rein Graeme P.,Director,,Common Stock,2,14833.0,6.8036,100917.75,,,,10000.0,,,,,,,,,,,4,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/843006/000106299326002799/0001062993-26-002799-index.htm,https://finance.yahoo.com/quote/ACCS/history,https://stooq.com/q/d/?s=accs.us,0001062993-26-002799,4,0,843006,1674265
0001493152-26-023264:AGIG,no_price,no_price,2026-05-15,2026-05-12,,AGIG,"ABUNDIA GLOBAL IMPACT GROUP, INC.",Bailey Robert J.,Director,,Common Stock,2,10000.0,1.1994,11993.86,,,,10000.0,,,,,,,,,,,3,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1156041/000149315226023264/0001493152-26-023264-index.htm,https://finance.yahoo.com/quote/AGIG/history,https://stooq.com/q/d/?s=agig.us,0001493152-26-023264,4,0,1156041,1859063
0001493152-26-023155:AGIG,no_price,no_price,2026-05-14,2026-05-12,,AGIG,"ABUNDIA GLOBAL IMPACT GROUP, INC.",Gillespie Edward Oliver,Director/Officer,Chief Executive Officer,Common Stock,3,31220.0,1.1846,36981.7,,,,10000.0,,,,,,,,,,,2,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1156041/000149315226023155/0001493152-26-023155-index.htm,https://finance.yahoo.com/quote/AGIG/history,https://stooq.com/q/d/?s=agig.us,0001493152-26-023155,4,0,1156041,2076180
0000950142-26-001403:ALKT,no_price,no_price,2026-05-14,2026-05-12,,ALKT,"ALKAMI TECHNOLOGY, INC.","GENERAL ATLANTIC, L.P. (+9 joint)",Director/10% Owner,,Common Stock,3,1975000.0,16.6733,32929750.0,,,,10000.0,,,,,,,,,,,2,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1529274/000095014226001403/0000950142-26-001403-index.htm,https://finance.yahoo.com/quote/ALKT/history,https://stooq.com/q/d/?s=alkt.us,0000950142-26-001403,4,0,1529274,1017645
0001731122-26-000462:VEEE,no_price,no_price,2026-03-19,2026-03-19,,VEEE,"Twin Vee PowerCats, Co.",Schuyler Kevin,Director,,Common stock,1,25000.0,0.4066,10165.0,,,,10000.0,,,,,,,,,,,0,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1855509/000173112226000462/0001731122-26-000462-index.htm,https://finance.yahoo.com/quote/VEEE/history,https://stooq.com/q/d/?s=veee.us,0001731122-26-000462,4,0,1855509,1718094
0001193125-26-111290:MYO,no_price,no_price,2026-03-17,2026-03-16,,MYO,"MYOMO, INC.",Getz Heather C,Director,,Common Stock,1,20000.0,0.6986,13972.0,,,,10000.0,,,,,,,,,,,1,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1369290/000119312526111290/0001193125-26-111290-index.htm,https://finance.yahoo.com/quote/MYO/history,https://stooq.com/q/d/?s=myo.us,0001193125-26-111290,4,0,1369290,1481485
0001672688-26-000049:ABSI,no_price,no_price,2026-03-16,2026-03-12,,ABSI,Absci Corp,Busch Andreas,Officer,Chief Innovation Officer,Common Stock,1,100000.0,2.29,229000.0,,,,10000.0,,,,,,,,,,,4,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1672688/000167268826000049/0001672688-26-000049-index.htm,https://finance.yahoo.com/quote/ABSI/history,https://stooq.com/q/d/?s=absi.us,0001672688-26-000049,4,0,1672688,1775029
0001731122-26-000395:VEEE,no_price,no_price,2026-03-13,2026-03-13,,VEEE,"Twin Vee PowerCats, Co.",SWETS LARRY G JR,Director,,Common stock,1,50000.0,0.42,21000.0,,,,10000.0,,,,,,,,,,,0,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1855509/000173112226000395/0001731122-26-000395-index.htm,https://finance.yahoo.com/quote/VEEE/history,https://stooq.com/q/d/?s=veee.us,0001731122-26-000395,4,0,1855509,1409891
0001140361-26-008363:ADMA,no_price,no_price,2026-03-09,2026-03-05,,ADMA,"ADMA BIOLOGICS, INC.",ELMS STEVE,Director,,Common Stock,2,14000.0,15.53,217420.0,,,,10000.0,,,,,,,,,,,4,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1368514/000114036126008363/0001140361-26-008363-index.htm,https://finance.yahoo.com/quote/ADMA/history,https://stooq.com/q/d/?s=adma.us,0001140361-26-008363,4,0,1368514,1250195
0001225208-26-003385:ICFI,no_price,no_price,2026-03-06,2026-03-06,,ICFI,"ICF International, Inc.",Mehl Randall,Director,,Common,1,1100.0,74.3,81730.0,,,,10000.0,,,,,,,,,,,0,,,none,No daily market bars available; no entry price was inferred.,https://www.sec.gov/Archives/edgar/data/1362004/000122520826003385/0001225208-26-003385-index.htm,https://finance.yahoo.com/quote/ICFI/history,https://stooq.com/q/d/?s=icfi.us,0001225208-26-003385,4,0,1362004,1694310
