fd,td,co,tk,in,rel,title,code,ct,side,sec,sh,px,val,ad,af,di,der,acc,icik,pcik,form,amend,xp,exp,under
2026-08-27,2026-08-25,Apple Inc.,AAPL,Newstead Jennifer,Officer,"SVP, GC and Secretary",S,Open market or private sale of securities,sell,Common Stock,1439.0,310.95,447457.05,D,37229.0,D,,0001140361-26-034741,320193,1780525,4,,,,
2026-08-27,2026-08-25,Alphabet Inc.,GOOGL,Ashkenazi Anat,Officer,"SVP, Chief Financial Officer",C,Conversion of derivative security,exercise,Class C Google Stock Units,1764.0,,,D,60732.0,D,,0001193125-26-371785,1652044,1761679,4,,,,
2026-08-27,2026-08-25,Alphabet Inc.,GOOGL,Ashkenazi Anat,Officer,"SVP, Chief Financial Officer",F,Payment of exercise price or tax liability by delivering or withholding securities,withholding,Class C Google Stock Units,1781.0,344.59,613714.79,D,58951.0,D,,0001193125-26-371785,1652044,1761679,4,,,,
2026-08-27,2026-08-25,Alphabet Inc.,GOOGL,Ashkenazi Anat,Officer,"SVP, Chief Financial Officer",C,Conversion of derivative security,exercise,Class C Capital Stock,1764.0,,,A,140506.0,D,,0001193125-26-371785,1652044,1761679,4,,,,
2026-08-27,2026-08-25,Alphabet Inc.,GOOGL,Schindler Philipp,Officer,"SVP, Chief Business Officer",C,Conversion of derivative security,exercise,Class C Google Stock Units,1996.0,,,D,76263.0,D,,0001193125-26-371788,1652044,1837573,4,,,,
2026-08-27,2026-08-25,Alphabet Inc.,GOOGL,Schindler Philipp,Officer,"SVP, Chief Business Officer",F,Payment of exercise price or tax liability by delivering or withholding securities,withholding,Class C Google Stock Units,2015.0,344.59,694348.85,D,74248.0,D,,0001193125-26-371788,1652044,1837573,4,,,,
2026-08-27,2026-08-25,Alphabet Inc.,GOOGL,Schindler Philipp,Officer,"SVP, Chief Business Officer",C,Conversion of derivative security,exercise,Class C Capital Stock,1996.0,,,A,925318.0,D,,0001193125-26-371788,1652044,1837573,4,,,,
2026-08-25,2026-08-21,AMAZON COM INC,AMZN,Jassy Andrew R,Director/Officer,President and CEO,M,Exercise or conversion of derivative security exempt under Rule 16b-3,exercise,Restricted Stock Units,50000.0,,,D,,D,1,0001374545-26-000010,1018724,1374545,4,,,2026-08-21,"Common Stock, par value $.01 per share"
2026-08-25,2026-08-21,AMAZON COM INC,AMZN,Jassy Andrew R,Director/Officer,President and CEO,M,Exercise or conversion of derivative security exempt under Rule 16b-3,exercise,"Common Stock, par value $.01 per share",50000.0,,,A,2255766.0,D,,0001374545-26-000010,1018724,1374545,4,,,,
2026-08-25,2026-08-21,AMAZON COM INC,AMZN,Jassy Andrew R,Director/Officer,President and CEO,S,Open market or private sale of securities,sell,"Common Stock, par value $.01 per share",3197.0,257.6343,823656.86,D,2252569.0,D,,0001374545-26-000010,1018724,1374545,4,,,,
2026-08-25,2026-08-21,AMAZON COM INC,AMZN,Jassy Andrew R,Director/Officer,President and CEO,S,Open market or private sale of securities,sell,"Common Stock, par value $.01 per share",7478.0,258.6654,1934299.86,D,2245091.0,D,,0001374545-26-000010,1018724,1374545,4,,,,
2026-08-25,2026-08-21,AMAZON COM INC,AMZN,Jassy Andrew R,Director/Officer,President and CEO,S,Open market or private sale of securities,sell,"Common Stock, par value $.01 per share",7514.0,259.6068,1950685.5,D,2237577.0,D,,0001374545-26-000010,1018724,1374545,4,,,,
2026-08-25,2026-08-21,AMAZON COM INC,AMZN,Jassy Andrew R,Director/Officer,President and CEO,S,Open market or private sale of securities,sell,"Common Stock, par value $.01 per share",1811.0,260.3925,471570.82,D,2235766.0,D,,0001374545-26-000010,1018724,1374545,4,,,,
2026-08-24,2026-08-20,Palantir Technologies Inc.,PLTR,Karp Alexander C.,Director/Officer,Chief Executive Officer,C,Conversion of derivative security,exercise,Class B Common Stock,402348.0,,,D,,D,1,0001823951-26-000009,1321655,1823951,4,,,,Class A Common Stock
2026-08-24,2026-08-20,Palantir Technologies Inc.,PLTR,Karp Alexander C.,Director/Officer,Chief Executive Officer,C,Conversion of derivative security,exercise,Class A Common Stock,402348.0,,,A,402348.0,D,,0001823951-26-000009,1321655,1823951,4,,,,
2026-08-24,2026-08-20,Palantir Technologies Inc.,PLTR,Karp Alexander C.,Director/Officer,Chief Executive Officer,S,Open market or private sale of securities,sell,Class A Common Stock,11378.0,172.6542,1964459.49,D,390970.0,D,,0001823951-26-000009,1321655,1823951,4,,,,
2026-08-24,2026-08-20,Palantir Technologies Inc.,PLTR,Karp Alexander C.,Director/Officer,Chief Executive Officer,S,Open market or private sale of securities,sell,Class A Common Stock,19493.0,173.7864,3387618.3,D,371477.0,D,,0001823951-26-000009,1321655,1823951,4,,,,
2026-08-21,2026-08-19,NATIONAL HEALTHCARE CORP,NHC,FLATT STEPHEN FOWLER,Director/Officer,Chief Executive Officer,S,Open market or private sale of securities,sell,Common Stock,1500.0,237.08,355620.0,D,65487.0,D,,0001437749-26-028642,1047335,1323385,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,Bosworth Andrew,Officer,Chief Technology Officer,S,Open market or private sale of securities,sell,Class A Common Stock,7848.0,558.0,4379184.0,D,828.0,D,,0000950103-26-012726,1326801,1917373,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,1845.0,547.5143,1010163.88,D,20537.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,1864.0,548.1951,1021835.67,D,18673.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,1219.0,549.2492,669534.77,D,17454.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,708.0,550.1979,389540.11,D,16746.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,1031.0,551.2472,568335.86,D,15715.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,561.0,552.4692,309935.22,D,15154.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,768.0,553.4182,425025.18,D,14386.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,160.0,554.3888,88702.21,D,14226.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,40.0,555.83,22233.2,D,14186.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,720.0,557.5686,401449.39,D,13466.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,120.0,558.1217,66974.6,D,13346.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,40.0,559.59,22383.6,D,13306.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,LI SUSAN J,Officer,Chief Financial Officer,S,Open market or private sale of securities,sell,Class A Common Stock,120.0,560.63,67275.6,D,13186.0,I,,0000950103-26-012727,1326801,1739092,4,,,,
2026-08-20,2026-08-18,"Meta Platforms, Inc.",META,Mahoney Curtis J.,Officer,Chief Legal Officer,S,Open market or private sale of securities,sell,Class A Common Stock,1559.0,558.0,869922.0,D,1957.0,D,,0000950103-26-012729,1326801,2105423,4,,,,
2026-08-20,2026-08-18,Apple Inc.,AAPL,Newstead Jennifer,Officer,"SVP, GC and Secretary",S,Open market or private sale of securities,sell,Common Stock,1439.0,307.49,442478.11,D,38668.0,D,,0001140361-26-033928,320193,1780525,4,,,,
2026-08-13,2026-08-11,Apple Inc.,AAPL,Newstead Jennifer,Officer,"SVP, GC and Secretary",S,Open market or private sale of securities,sell,Common Stock,1439.0,307.75,442852.25,D,40107.0,D,,0001140361-26-032884,320193,1780525,4,,,,
2026-08-12,2026-08-10,NVIDIA CORP,NVDA,Johnson Suzanne M Nora,Director,,A,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",grant,Common Stock,1262.0,,,A,1262.0,D,,0001310264-26-000008,1045810,1310264,4,,,,
2026-08-12,2026-08-10,NVIDIA CORP,NVDA,Johnson Suzanne M Nora,Director,,A,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",grant,Common Stock,1148.0,,,A,2410.0,D,,0001310264-26-000008,1045810,1310264,4,,,,
2026-07-17,2026-07-15,NGL Energy Partners LP,NGL,GUDERIAN BRYAN K,Director,,A,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",grant,Common Units,24000.0,,,A,146500.0,D,,0001218401-26-000003,1504461,1218401,4,,,,
2026-07-06,2026-06-30,Absci Corp,ABSI,Szela Mary T,Director,,P,Open market or private purchase of securities,buy,Common Stock,12900.0,11.54,148866.0,A,21300.0,D,,0001672688-26-000124,1672688,1410289,4,,,,
2026-07-02,2026-07-01,NVIDIA CORP,NVDA,COXE TENCH,Director,,G,Bona fide gift,gift,Common Stock,500000.0,,,D,32000000.0,I,,0001197647-26-000005,1045810,1197647,4,,,,
2026-07-02,2026-07-01,BERKSHIRE HATHAWAY INC,BRK-B,JAIN AJIT,Director/Officer,Vice Chairman,G,Bona fide gift,gift,Class B Common Stock,3.0,,,D,327.0,D,,0001728451-26-000002,1067983,1728451,4,,,,
2026-06-17,2026-06-15,MICROSOFT CORP,MSFT,Jolla Alice L.,Officer,Chief Accounting Officer,A,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",grant,Common Stock,5004.0,,,A,28500.0,D,,0000789019-26-000135,789019,1824409,4,,,,
2026-06-15,2026-06-15,Cytosorbents Corp,CTSO,Chan Phillip P.,Director/Officer,Chief Executive Officer,P,Open market or private purchase of securities,buy,Common Stock,10333.0,0.43,4443.19,A,1744432.0,D,,0001104659-26-074164,1175151,1442786,4,,,,
2026-06-15,2026-06-12,Cytosorbents Corp,CTSO,Chan Phillip P.,Director/Officer,Chief Executive Officer,P,Open market or private purchase of securities,buy,Common Stock,251136.0,0.4,100454.4,A,1734099.0,D,,0001104659-26-074164,1175151,1442786,4,,,,
2026-06-15,2026-06-12,"ABUNDIA GLOBAL IMPACT GROUP, INC.",AGIG,Gillespie Edward Oliver,Director/Officer,Chief Executive Officer,P,Open market or private purchase of securities,buy,Common Stock,11000.0,1.18,12980.0,A,202248.0,D,,0001493152-26-028685,1156041,2076180,4,,,,
